date,rsi_14,macd,macd_sig,macd_hist,bb_z20,atr_pct,range_pct,vol_z,vol_5d,rv_60,ma_stack,up_streak,up_bigdays_20d,dist_ma60_atr,ma60_slope_60d,run_length,close,ticker,sector,y21,max_fwd21_ret,argmax_day_fwd21,end_of_window_ret,y5_touch,spy_ret_5d,spy_ret_20d,spy_rv_20,spy_rv_60,vix,vix_chg_5d,fng,sector_pop_5d,finbert_max_5d,finbert_max_20d,finbert_mean_5d,news_n_5d,news_n_20d,earn_news_5d,earn_news_20d,ma_news_5d,ma_news_20d,close_5d_ago,ret_5d_lag,close_20d_ago,ret_20d_lag,max_60d,min_60d,dd_60d,rsi_14_xrank,rv_60_xrank,ma60_slope_xrank,ret_20d_xrank,prob_up,prob_drop15,proj_peak,proj_end,hit_rate
2026-05-01,69.58762481167219,0.1236157430594765,0.1304188727118283,-0.0068031296523518,0.9756422559264588,0.099862781397472,0.0847385560299658,-0.9821400999843128,0.8152428468325678,1.4405907921669372,1,2,11.0,4.6234554100593055,0.2828655382544802,22,93.6999969482422,AEHR,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9248452205210924,0.9395589716732502,0.3299785881613691,15.0,54.0,1,1,0,0,95.91000366210938,-0.023042504738640446,44.31999969482422,1.1141696207905136,97.36000061035156,23.0,-0.7637633539871345,0.8591040462427746,0.9920520231213873,0.9660404624277457,0.9985549132947977,0.3328413284132841,0.2218294299602298,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,38.63371935710807,-0.0127532799255895,0.0100648545053942,-0.0228181344309837,-0.9717896224254164,0.0852646790473801,0.0492694083081646,-0.588376915626966,0.5388443632963366,0.920554342593796,0,1,6.0,-0.8382347742176596,0.1623360807538093,0,26.690000534057617,FBRX,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9391582068055868,0.9391582068055868,0.0683985305950045,12.0,12.0,1,1,0,0,27.450000762939453,-0.02768671066515671,25.57999992370605,0.04339329998679475,35.09000015258789,23.5,-0.3302935338326901,0.16907514450867053,0.9530346820809249,0.8179190751445087,0.45375722543352603,0.3328413284132841,0.20028715003589376,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,78.20764042945927,0.0920610778172307,0.077500537451976,0.0145605403652547,1.1277053412575906,0.0868027184890627,0.0428326847006328,-0.934135874600776,0.7686051327268112,0.920209067110934,1,0,9.0,3.363962335369294,0.2708572882590637,18,267.552490234375,VICR,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9339253902435304,0.934047495946288,0.1990924644904831,15.0,27.0,1,1,0,0,273.5299987792969,-0.02185321014732633,155.63999938964844,0.719047104109471,273.5299987792969,142.22000122070312,-0.4800570253522497,0.9573699421965318,0.9523121387283237,0.9588150289017341,0.9898843930635838,0.3328413284132841,0.2129156010230179,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,48.73150239981128,-0.0254022367194418,-0.0245210697141474,-0.0008811670052944,-0.0065099135392928,0.0606495480920203,0.0427996150728557,-2.1085188409096496,0.9237521899988338,0.9515682501282984,0,2,7.0,-1.2411091841194013,0.0346299077890762,0,19.86000061035156,TNDM,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9341031908988952,0.9341031908988952,0.522850894741714,15.0,42.0,0,1,0,0,20.36000061035156,-0.024557956041798334,18.61000061035156,0.06716818694270787,28.26000022888184,18.15999984741211,-0.35739562277665826,0.36488439306358383,0.9609826589595376,0.47109826589595377,0.5578034682080925,0.3328413284132841,0.1575428332636857,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,61.16125136265791,0.0901927636999236,0.094857158161601,-0.0046643944616773,0.5884930641593001,0.0645706814048335,0.0820484205891114,-0.6165225630832217,0.8246585391703588,0.7836033178147067,1,0,7.0,4.672471225071973,0.2642771138138553,29,70.69000244140625,SYRE,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9279159475117922,0.9279159475117922,0.4110830243056019,15.0,18.0,0,1,0,0,69.66999816894531,0.01464050953449858,47.58000183105469,0.48570827492629576,74.44999694824219,32.939998626708984,-0.5575554066226631,0.6950867052023122,0.9176300578034682,0.9530346820809249,0.9754335260115607,0.3328413284132841,0.1778975741239892,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,53.42516259910837,0.0703621933334136,0.0740730552684295,-0.0037108619350158,0.4585005172267524,0.0603931116634524,0.064975325086065,-0.6596433019642319,0.9494702075748476,0.9460722623069134,1,0,4.0,3.710698740519653,0.162243300222024,16,140.97500610351562,RVMD,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9082468058913946,0.9337011463940144,0.3707501073678335,15.0,60.0,0,1,0,1,135.3000030517578,0.04194385013862045,99.12000274658205,0.42226596244093484,152.5399932861328,92.51000213623048,-0.39353608097581827,0.4963872832369942,0.958092485549133,0.8171965317919075,0.9609826589595376,0.3328413284132841,0.1575428332636857,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,59.51352967621324,0.0369899006248548,0.0398212982642603,-0.0028313976394054,0.3395799107287776,0.0745313307457205,0.0602340320580852,-2.060362711931332,0.6716719336266628,0.8534561282121048,1,0,7.0,1.3449471045942711,0.0811618086743772,16,80.31999969482422,RKLB,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9241821449249984,0.9242848437279464,0.0460950806736946,15.0,60.0,0,0,0,1,79.68000030517578,0.008032120823258326,67.7300033569336,0.18588506885998513,90.04000091552734,57.380001068115234,-0.3627276712052977,0.6510115606936416,0.9393063583815029,0.6062138728323699,0.8504335260115607,0.3328413284132841,0.15800245599672533,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,22.669271194042025,-0.0456704293259531,-0.0410540032796002,-0.0046164260463528,-0.9773896848486944,0.059426893563836,0.0509084634599701,-1.425781918366337,0.700129049786049,0.9088768188906624,0,2,2.0,-2.9188066841278197,-0.2466848239964556,0,137.60000610351562,RHLD,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.0980173181742429,0.0980173181742429,-0.2740950177734096,3.0,3.0,1,1,0,0,138.4600067138672,-0.006211184231189493,154.39999389648438,-0.10880821539560492,203.13999938964844,111.08999633789062,-0.4531357848199761,0.02023121387283237,0.9508670520231214,0.09176300578034682,0.04335260115606936,0.3328413284132841,0.1575428332636857,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,55.68123024252055,0.0391462822678626,0.0517188346934437,-0.012572552425581,0.1896948579858012,0.0853767832304285,0.056923054431231,-1.0281446709755897,0.42494682936955,1.0624972013224483,0,0,4.0,2.2322051423091414,0.299461639561047,2,36.52999877929688,PL,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.915941009297967,0.9353103814646602,0.1181054123987754,15.0,60.0,0,1,0,1,35.439998626708984,0.03075621317226651,35.880001068115234,0.018115877698768212,39.88999938964844,20.43000030517578,-0.4878415488149288,0.5585260115606936,0.9776011560693642,0.9732658959537572,0.35332369942196534,0.3328413284132841,0.2129156010230179,0.2902458494781634,0.14163930674239353,0.29903458158916923
2026-05-01,63.23105144662755,0.0552634648709953,0.0428952752046682,0.0123681896663271,0.8232900856075456,0.1070042827595185,0.0452846016468125,-0.9556659509442224,1.1155028288420152,0.9427863509107192,1,0,10.0,1.2498246995633553,-0.415763777872421,15,70.88500213623047,OKLO,,-1,,-1,,-1,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.8799991607666,-1.8299999237060547,68.0857142857143,0,0.9113130383193492,0.9314960055053234,0.3451745023330052,15.0,60.0,0,1,0,0,71.0,-0.0016196882221061193,48.130001068115234,0.47278206031850223,76.45999908447266,45.58000183105469,-0.40387127417176516,0.7384393063583815,0.9566473988439307,0.03468208092485549,0.9710982658959537,0.3328413284132841,0.1875,0.2902458494781634,0.14163930674239353,0.29903458158916923
