config,threshold,max_hold,n_picks,hit_rate,mean,median,std_pick,basket_mean,basket_std,basket_sharpe,loser_rate,big_loss_rate,min_pick,max_pick,avg_hold_days,median_hold_days,max_hold_days,exit_signal_pct,exit_max_hold_pct,exit_eod_pct
margin>0_30d,0.0,30,275,0.6290909090909091,0.03595307832170987,0.024883713833121268,0.08505024575701783,0.03595307832170987,0.046347192345648075,0.7757336853024239,0.3527272727272727,0.007272727272727273,-0.15953763485021288,0.4894261954924797,3.021818181818182,2.0,17,0.9090909090909091,0.0,0.09090909090909091
margin>0_60d,0.0,60,275,0.6290909090909091,0.03595307832170987,0.024883713833121268,0.08505024575701783,0.03595307832170987,0.046347192345648075,0.7757336853024239,0.3527272727272727,0.007272727272727273,-0.15953763485021288,0.4894261954924797,3.021818181818182,2.0,17,0.9090909090909091,0.0,0.09090909090909091
margin>0_90d,0.0,90,275,0.6290909090909091,0.03595307832170987,0.024883713833121268,0.08505024575701783,0.03595307832170987,0.046347192345648075,0.7757336853024239,0.3527272727272727,0.007272727272727273,-0.15953763485021288,0.4894261954924797,3.021818181818182,2.0,17,0.9090909090909091,0.0,0.09090909090909091
margin>0_120d,0.0,120,275,0.6290909090909091,0.03595307832170987,0.024883713833121268,0.08505024575701783,0.03595307832170987,0.046347192345648075,0.7757336853024239,0.3527272727272727,0.007272727272727273,-0.15953763485021288,0.4894261954924797,3.021818181818182,2.0,17,0.9090909090909091,0.0,0.09090909090909091
margin>-0.2_60d,-0.2,60,275,0.6654545454545454,0.061300447866417654,0.033936486321253234,0.11567945609861645,0.06130044786641765,0.06460630150283662,0.9488307864787179,0.31636363636363635,0.007272727272727273,-0.17967996697017796,0.5307842107631322,4.374545454545455,3.0,20,0.8363636363636363,0.0,0.16363636363636364
margin>-0.5_60d,-0.5,60,275,0.6690909090909091,0.07995822139762201,0.04083466563110205,0.14176496483320522,0.079958221397622,0.07078730046228414,1.129556020295253,0.3090909090909091,0.02181818181818182,-0.21206863748821558,0.5307842107631322,6.989090909090909,6.0,30,0.7672727272727272,0.0,0.23272727272727273
margin>-0.5_90d,-0.5,90,275,0.6690909090909091,0.07995822139762201,0.04083466563110205,0.14176496483320522,0.079958221397622,0.07078730046228414,1.129556020295253,0.3090909090909091,0.02181818181818182,-0.21206863748821558,0.5307842107631322,6.989090909090909,6.0,30,0.7672727272727272,0.0,0.23272727272727273
margin>0.5_60d,0.5,60,275,0.5963636363636363,0.03136095172404708,0.011744391835151413,0.08291632663201677,0.03136095172404708,0.05068025290660172,0.6188002214953812,0.38545454545454544,0.0036363636363636364,-0.15953763485021288,0.47287049326422625,1.7927272727272727,1.0,15,0.9818181818181818,0.0,0.01818181818181818
prob>0.10_60d,0.1,60,275,0.7236363636363636,0.18830301512869796,0.11376641763745776,0.24852297335335763,0.18830301512869793,0.11903842290404336,1.581867522560246,0.2581818181818182,0.025454545454545455,-0.21206863748821558,0.8883689190199213,18.203636363636363,10.0,60,0.5963636363636363,0.13818181818181818,0.26545454545454544
prob>0.10_90d,0.1,90,275,0.7236363636363636,0.23782009577573274,0.11376641763745776,0.35318126052322113,0.23782009577573268,0.16089639597735161,1.4780946107034563,0.2581818181818182,0.025454545454545455,-0.21206863748821558,1.3528037696397384,20.272727272727273,10.0,90,0.7018181818181818,0.007272727272727273,0.2909090909090909
prob>0.05_60d,0.05,60,275,0.8254545454545454,0.43855989501794573,0.37927012199903065,0.4674338990733031,0.43855989501794573,0.2753222105205531,1.5928968977430418,0.15636363636363637,0.04363636363636364,-0.428150728555982,2.2494003824426247,43.53090909090909,60.0,60,0.007272727272727273,0.6472727272727272,0.34545454545454546
prob>0.05_90d,0.05,90,275,0.8072727272727273,0.7144410826636123,0.5885239743469501,0.7872881556272723,0.7144410826636125,0.5403928481740577,1.3220772352514456,0.17454545454545456,0.04,-0.3872606237575854,3.6192180773900464,54.56363636363636,68.0,90,0.007272727272727273,0.10545454545454545,0.8872727272727273
prob>0.02_60d,0.02,60,275,0.8254545454545454,0.4386357377490498,0.37927012199903065,0.4673530653935867,0.43863573774904974,0.27529194478846986,1.5933475208876553,0.15636363636363637,0.04363636363636364,-0.428150728555982,2.2494003824426247,43.53454545454545,60.0,60,0.007272727272727273,0.6472727272727272,0.34545454545454546
prob>0.15_60d,0.15,60,275,0.7381818181818182,0.18061881432949065,0.11091473372477889,0.23567052322545054,0.18061881432949062,0.11026975462840011,1.6379723972195366,0.24363636363636362,0.01818181818181818,-0.21206863748821558,0.8883689190199213,17.432727272727274,9.0,60,0.6036363636363636,0.13818181818181818,0.2581818181818182
BASE_21d,-1000000000.0,21,275,0.7709090909090909,0.21825259493228039,0.16002669851834694,0.30392551264558665,0.21825259493228036,0.15618469338531066,1.3974006684115132,0.20727272727272728,0.03636363636363636,-0.36779658505065527,1.8024263903894702,16.98181818181818,21.0,21,0.0,0.6909090909090909,0.3090909090909091
BASE_60d,-1000000000.0,60,275,0.8290909090909091,0.4399028294646573,0.37927012199903065,0.4662641789780937,0.4399028294646573,0.2758117499914543,1.5949386836430544,0.15272727272727274,0.04363636363636364,-0.428150728555982,2.2494003824426247,43.69090909090909,60.0,60,0.0,0.6545454545454545,0.34545454545454546
