config,threshold,max_hold,n_picks,hit_rate,mean,median,std_pick,basket_mean,basket_std,basket_sharpe,loser_rate,big_loss_rate,min_pick,max_pick,avg_hold_days,median_hold_days,max_hold_days,exit_signal_pct,exit_max_hold_pct,exit_eod_pct
margin>0_60d,0.0,60,275,0.5418181818181819,0.0025767580228961023,0.00767168259611295,0.15998362397349797,0.0025767580228961023,0.08382017806964015,0.030741500223910995,0.43272727272727274,0.08363636363636363,-0.7456685656750516,0.5200973793238994,2.0654545454545454,1.0,17,0.8181818181818182,0.0,0.18181818181818182
margin>-0.5_60d,-0.5,60,275,0.6072727272727273,0.1092738103076081,0.03981472345918613,0.3476112041142462,0.1092738103076081,0.17784210576210127,0.6144428499614331,0.37454545454545457,0.14909090909090908,-0.7456685656750516,1.589135496765825,8.178181818181818,7.0,25,0.68,0.0,0.32
prob>0.30_60d,0.3,60,275,0.5672727272727273,0.29076548858855883,0.05279959785481081,0.7820266531622072,0.2907654885885589,0.3580705921990795,0.812033981352201,0.41454545454545455,0.19272727272727272,-0.7456685656750516,3.6161753097840057,26.76,18.0,60,0.49818181818181817,0.16363636363636364,0.3381818181818182
prob>0.20_60d,0.2,60,275,0.5890909090909091,0.6945701688626161,0.07153545048081056,2.9205284359385506,0.6945701688626161,1.3602828771374302,0.5106071542444648,0.3890909090909091,0.16,-0.7456685656750516,25.49019577593952,35.42181818181818,49.0,60,0.2290909090909091,0.4109090909090909,0.36
prob>0.15_60d,0.15,60,275,0.6290909090909091,0.7155009266449512,0.09912176405103623,2.9148376495622803,0.7155009266449514,1.3480328426408659,0.5307741058023839,0.3490909090909091,0.15636363636363637,-0.7456685656750516,25.49019577593952,41.872727272727275,60.0,60,0.06909090909090909,0.5672727272727273,0.36363636363636365
prob>0.15_90d,0.15,90,275,0.6472727272727272,0.7313305612511842,0.11867307881947498,2.2546402889879653,0.7313305612511842,1.153614635703071,0.6339470206231169,0.33454545454545453,0.15636363636363637,-0.7456685656750516,17.09150380573716,51.403636363636366,64.0,90,0.06909090909090909,0.08363636363636363,0.8472727272727273
prob>0.10_60d,0.1,60,275,0.6290909090909091,0.7127889860109954,0.09912176405103623,2.915686036682979,0.7127889860109954,1.3482344290259571,0.5286832695156402,0.3490909090909091,0.16,-0.7456685656750516,25.49019577593952,42.14909090909091,60.0,60,0.02909090909090909,0.6072727272727273,0.36363636363636365
prob>0.05_60d,0.05,60,275,0.6254545454545455,0.7115985320873782,0.09912176405103623,2.9159978951450443,0.7115985320873782,1.3484795317519853,0.527704362826218,0.3527272727272727,0.16,-0.7456685656750516,25.49019577593952,42.76,60.0,60,0.025454545454545455,0.610909090909091,0.36363636363636365
BASE_21d,-1000000000.0,21,275,0.6145454545454545,0.25528855648724547,0.08706567986693914,0.8735411003660005,0.25528855648724547,0.40948235537887556,0.6234421413617163,0.36727272727272725,0.14545454545454545,-0.7456685656750516,10.619717685553447,16.90909090909091,21.0,21,0.0,0.6727272727272727,0.32727272727272727
BASE_60d,-1000000000.0,60,275,0.6327272727272727,0.7134959266761111,0.09912176405103623,2.9155048334698432,0.713495926676111,1.347939712310136,0.5293233222228478,0.34545454545454546,0.16,-0.7456685656750516,25.49019577593952,42.945454545454545,60.0,60,0.0,0.6363636363636364,0.36363636363636365
