date,rsi_14,macd,macd_sig,macd_hist,bb_z20,atr_pct,range_pct,vol_z,vol_5d,rv_60,overnight_gap,y,close,ticker,ma_stack,up_streak,up_bigdays_20d,dist_ma60_atr,ma60_slope_60d,run_length,y21,max_fwd21_ret,argmax_day_fwd21,end_of_window_ret,y5_touch,sector,spy_ret_5d,spy_ret_20d,spy_rv_20,spy_rv_60,vix,vix_chg_5d,fng,sector_pop_5d,finbert_max_5d,finbert_max_20d,finbert_mean_5d,news_n_5d,news_n_20d,earn_news_5d,earn_news_20d,ma_news_5d,ma_news_20d,close_5d_ago,ret_5d_lag,close_20d_ago,ret_20d_lag,max_60d,min_60d,dd_60d,rsi_14_xrank,rv_60_xrank,ma60_slope_xrank,ret_20d_xrank,prob_up,prob_drop15,proj_peak,proj_end,hit_rate
2026-04-30,58.057227358275945,0.0104177816154281,0.0050550631971953,0.0053627184182327,0.4242796414104225,0.060844631067605,0.0427007333059482,-0.5350163796828518,0.6318667584901262,1.027600215824903,,-1,27.39999961853028,SMCI,0,1,7.0,-0.6697088577520527,-0.1415754266016154,15,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.904281641356647,0.9304579198360444,0.2169645198931297,15.0,60.0,0,1,0,0,26.75,0.02429905116001052,22.51000022888184,0.2172367543281606,34.380001068115234,20.530000686645508,-0.40285049305348974,0.5487077534791253,1.0,0.1709741550695825,0.9204771371769384,0.26570048309178745,0.09342560553633218,0.26896469938608664,0.19913228179550704,0.34758155230596177
2026-04-30,57.67212025542303,0.0526871619383589,0.0603859489710813,-0.0076987870327224,1.568023312310431,0.0589118454980578,0.0827173381000248,-0.2029955062070466,0.7509844799629373,0.796899277045126,,-1,527.5800170898438,CIEN,1,2,6.0,4.393824080771264,0.3194930879347922,1,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.9157549440860748,0.9394588200375438,0.2619657654315233,15.0,60.0,1,1,0,0,515.8499755859375,0.022739249896411184,415.3900146484375,0.27008353230724014,527.5800170898438,252.97999572753903,-0.5204898071708846,0.536779324055666,0.9821073558648111,0.9880715705765407,0.9443339960238568,0.26570048309178745,0.09342560553633218,0.26896469938608664,0.19913228179550704,0.34758155230596177
2026-04-30,64.0883700478154,0.0135009088225577,0.0128260014402224,0.0006749073823353,0.2139817651964413,0.0535873407955906,0.0351965749753674,-1.7353014955815254,0.7372768110653866,0.9144486769820068,,-1,446.3500061035156,APP,1,1,5.0,0.536135540302424,-0.4095214785471832,14,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.9238307252526284,0.9313966259360312,0.3148301379134257,15.0,60.0,1,1,0,0,454.1700134277344,-0.017218237869116915,387.8399963378906,0.15086120647198653,517.22998046875,366.9100036621094,-0.2906250265508781,0.7037773359840954,0.9940357852882704,0.02385685884691849,0.8628230616302187,0.224,0.09342560553633218,0.18743698453630675,0.10723512121354377,0.18494271685761046
2026-04-30,87.96034155054322,0.0929670782610589,0.0745901163664061,0.0183769618946528,1.4436966928599877,0.0436677299621327,0.0312469160020367,-0.0018467532141998,1.2042436565431445,0.5629176430538113,,-1,100.80999755859376,ON,1,2,7.0,7.107786462166425,0.1428049450879341,22,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.352887749671936,0.9339109770953656,-0.200708287085096,15.0,60.0,0,1,0,0,97.77999877929688,0.030987919995131286,62.20000076293945,0.6207394907084833,100.80999755859376,55.65999984741211,-0.4478722230395764,0.9920477137176938,0.9025844930417495,0.8429423459244533,0.9960238568588469,0.224,0.09342560553633218,0.18743698453630675,0.10723512121354377,0.18494271685761046
2026-04-30,69.20622775448663,0.0623598186568787,0.0639012106883313,-0.0015413920314525,0.8814652681002298,0.046168755640932,0.0397702688679731,-0.5837562288399397,0.5973920916701301,0.699733162135987,,-1,208.9499969482422,DELL,1,1,5.0,5.123652067454555,0.1597192517869652,50,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.9260170739144088,0.9280492961406708,-0.0355363331114252,15.0,60.0,1,1,0,1,212.13999938964844,-0.015037251110513128,168.85752868652344,0.23743370268167707,216.08999633789065,112.47199249267578,-0.4795131917314296,0.8111332007952287,0.9701789264413518,0.878727634194831,0.9264413518886679,0.224,0.09342560553633218,0.18743698453630675,0.10723512121354377,0.18494271685761046
2026-04-30,44.40537062565915,0.0302413396834866,0.0432454166781607,-0.013004076994674,0.0371889906737797,0.0576986612499436,0.0965660014606592,0.2750635645551927,1.1735941653099784,0.7238766045421031,,-1,164.24000549316406,GLW,0,1,4.0,2.068993138432886,0.337061582738839,1,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.9056834913790226,0.9314583223313092,0.1072659178947409,15.0,60.0,1,1,0,0,169.5,-0.031032415969533544,142.3800048828125,0.15353279857198832,175.88999938964844,109.48565673828124,-0.3775333610881533,0.2504970178926441,0.9781312127236581,0.9900596421471173,0.8707753479125249,0.224,0.09342560553633218,0.18743698453630675,0.10723512121354377,0.18494271685761046
2026-04-30,71.29662687531163,0.0527017832369353,0.0486375377764455,0.0040642454604898,0.6679543402652947,0.0552636721695165,0.1212228713140462,2.4522155042020635,0.957113572998234,0.6146701490698432,,-1,395.7999877929687,CVNA,1,0,6.0,2.3923767970761003,-0.1659226059905026,22,-1,,-1,,-1,Consumer Discretionary,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,0,0.9277110490947962,0.9299809467047452,0.1156719207763671,15.0,60.0,1,1,0,0,403.0199890136719,-0.01791474720242292,312.0899963378906,0.26822388553732335,416.7900085449219,281.2799987792969,-0.3251277789472721,0.852882703777336,0.9383697813121272,0.1312127236580517,0.9423459244532804,0.19230769230769232,0.09342560553633218,0.1532980911088448,0.06502533894723801,0.12830655129789864
2026-04-30,71.47696772884633,0.0572080660860166,0.0541085928426462,0.0030994732433704,0.9189762053431768,0.0381783666887914,0.0336981477504131,-0.486464684216458,0.9721699726402188,0.567348784332492,,-1,172.7100067138672,ANET,1,2,5.0,4.744847165000642,0.0607762561495084,18,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.5147630572319031,0.8316943868994713,0.0788458264743287,15.0,60.0,1,1,0,1,172.5500030517578,0.0009272886657751833,124.8499984741211,0.3833400786918433,177.72999572753906,116.12999725341795,-0.3465931466546266,0.8548707753479126,0.904572564612326,0.6123260437375746,0.974155069582505,0.19230769230769232,0.09342560553633218,0.1532980911088448,0.06502533894723801,0.12830655129789864
2026-04-30,64.53147615095334,-0.0335130259744503,-0.0431060682081277,0.0095930422336773,-0.1972242164471067,0.0670348440562391,0.0590243902439024,0.8049971448334516,1.006781970990038,0.6534437230730752,,-1,1025.0,FICO,0,0,3.0,-2.345563273893718,-0.4883278054338162,0,-1,,-1,,-1,Information Technology,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,7,0.9252037201076746,0.9348643328994511,-0.0065615676343441,15.0,60.0,1,1,0,0,979.760009765625,0.04617456293730249,1061.989990234375,-0.03483082757325384,1476.0,922.3699951171876,-0.3750880791888973,0.7117296222664016,0.9562624254473161,0.017892644135188866,0.1848906560636183,0.19230769230769232,0.09342560553633218,0.1532980911088448,0.06502533894723801,0.12830655129789864
2026-04-30,60.55150418894089,0.0170613205630163,0.0223384624396289,-0.0052771418766126,0.0894498360157714,0.0465003178157474,0.0283448431103773,-0.6959490286187306,0.8258371201071326,0.5528803895747723,,-1,248.3699951171875,EXPE,1,0,6.0,1.3450472705772265,-0.1543997128248783,2,-1,,-1,,-1,Consumer Discretionary,0.01415365830052373,0.09637401044314098,0.11989775576861669,0.15460498113494978,16.889999389648438,-2.4200000762939453,68.0857142857143,0,0.937813924625516,0.937813924625516,0.247394667379558,15.0,60.0,0,1,0,1,250.3699951171875,-0.007988177653092565,227.6699981689453,0.09092105729662947,273.79998779296875,188.10191345214844,-0.31299517224821827,0.6182902584493042,0.8966202783300199,0.147117296222664,0.7276341948310139,0.15789473684210528,0.09342560553633218,0.1532980911088448,0.06502533894723801,0.12830655129789864
